latitude,longitude,elevacao,time_point
39.741791493055615,-105.34589978529755,2008.875,2023-08-19 19:25:33.899000+00:00
39.74180149287134,-105.34591797447733,2008.95,2023-08-19 19:25:33.999000+00:00
39.74181156243857,-105.34593629630825,2009.021,2023-08-19 19:25:34.099000+00:00
39.74182138941021,-105.34595410725753,2009.051,2023-08-19 19:25:34.199000+00:00
39.74183158033568,-105.34597254034338,2009.083,2023-08-19 19:25:34.299000+00:00
39.741841740479686,-105.3459908917314,2009.1200000000001,2023-08-19 19:25:34.399000+00:00
39.741851787283366,-105.3460091794481,2009.24,2023-08-19 19:25:34.499000+00:00
39.741861549075146,-105.34602710258137,2009.2830000000001,2023-08-19 19:25:34.599000+00:00
39.74187148665445,-105.3460452896924,2009.345,2023-08-19 19:25:34.699000+00:00
39.741881301601104,-105.34606326801523,2009.387,2023-08-19 19:25:34.799000+00:00
39.741891082402276,-105.34608119095111,2009.491,2023-08-19 19:25:34.899000+00:00
39.74190080714867,-105.3460990546814,2009.522,2023-08-19 19:25:34.999000+00:00
39.74191079967664,-105.34611731746216,2009.488,2023-08-19 19:25:35.099000+00:00
39.741920672016505,-105.34613550251424,2009.57,2023-08-19 19:25:35.199000+00:00
39.74193045503035,-105.34615365549045,2009.54,2023-08-19 19:25:35.299000+00:00
39.74194021043244,-105.34617188209928,2009.6570000000002,2023-08-19 19:25:35.399000+00:00
39.741949852210574,-105.34619007550563,2009.7,2023-08-19 19:25:35.499000+00:00
39.74195945677832,-105.3462083011973,2009.737,2023-08-19 19:25:35.599000+00:00
39.741969041450155,-105.34622646011005,2009.838,2023-08-19 19:25:35.699000+00:00
39.74197865304359,-105.34624487478193,2009.9560000000001,2023-08-19 19:25:35.799000+00:00
39.74198818079321,-105.34626332147215,2009.91,2023-08-19 19:25:35.899000+00:00
39.74199757901221,-105.34628184091753,2009.9460000000001,2023-08-19 19:25:35.999000+00:00
39.74200700222145,-105.34630045010637,2009.991,2023-08-19 19:25:36.099000+00:00
39.74201647776404,-105.34631924614399,2010.048,2023-08-19 19:25:36.199000+00:00
39.742025675142514,-105.3463379222876,2010.135,2023-08-19 19:25:36.299000+00:00
39.742034813808516,-105.34635670681527,2010.224,2023-08-19 19:25:36.399000+00:00
39.74204401313433,-105.34637576496553,2010.363,2023-08-19 19:25:36.499000+00:00
39.74205308659924,-105.3463945649725,2010.401,2023-08-19 19:25:36.599000+00:00
