DATA INICIAL;DATA FINAL;ESTADO;MUNICÍPIO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA
2023-11-05;2023-11-11;SERGIPE;ARACAJU;GASOLINA COMUM;15;R$/l;6.15;0.03692979181920098;6.1;6.19;0.006
2023-11-05;2023-11-11;PARA;BELEM;GASOLINA COMUM;18;R$/l;5.52;0.23208911968708096;5.29;6.29;0.042
2023-11-05;2023-11-11;MINAS GERAIS;BELO HORIZONTE;GASOLINA COMUM;39;R$/l;5.33;0.10420575514916548;5.16;5.69;0.02
2023-11-05;2023-11-11;RORAIMA;BOA VISTA;GASOLINA COMUM;17;R$/l;5.88;0.016019289842524966;5.85;5.92;0.003
2023-11-05;2023-11-11;DISTRITO FEDERAL;BRASILIA;GASOLINA COMUM;49;R$/l;5.54;0.15559874481420183;5.35;5.88;0.028
2023-11-05;2023-11-11;MATO GROSSO DO SUL;CAMPO GRANDE;GASOLINA COMUM;20;R$/l;5.34;0.08999853799982122;5.24;5.58;0.017
2023-11-05;2023-11-11;MATO GROSSO;CUIABA;GASOLINA COMUM;18;R$/l;5.59;0.10765625518773052;5.37;5.79;0.019
2023-11-05;2023-11-11;PARANA;CURITIBA;GASOLINA COMUM;48;R$/l;5.96;0.04069814065141391;5.87;5.99;0.007
2023-11-05;2023-11-11;SANTA CATARINA;FLORIANOPOLIS;GASOLINA COMUM;17;R$/l;5.78;0.21499658000015887;5.48;6.29;0.037
2023-11-05;2023-11-11;CEARA;FORTALEZA;GASOLINA COMUM;44;R$/l;5.28;0.1652974767319619;5.1;5.89;0.031
2023-11-05;2023-11-11;GOIAS;GOIANIA;GASOLINA COMUM;43;R$/l;5.31;0.22124509241824633;4.95;5.95;0.042
2023-11-05;2023-11-11;PARAIBA;JOAO PESSOA;GASOLINA COMUM;18;R$/l;5.68;0.007047921864945659;5.67;5.69;0.001
2023-11-05;2023-11-11;AMAPA;MACAPA;GASOLINA COMUM;17;R$/l;5.51;0.0625029411072697;5.42;5.69;0.011
2023-11-05;2023-11-11;ALAGOAS;MACEIO;GASOLINA COMUM;19;R$/l;5.74;0.0447475047492768;5.65;5.79;0.008
2023-11-05;2023-11-11;AMAZONAS;MANAUS;GASOLINA COMUM;40;R$/l;6.49;0.0031622776601683794;6.47;6.49;0.0
2023-11-05;2023-11-11;RIO GRANDE DO NORTE;NATAL;GASOLINA COMUM;17;R$/l;5.4;0.1292256348635299;5.11;5.59;0.024
2023-11-05;2023-11-11;TOCANTINS;PALMAS;GASOLINA COMUM;14;R$/l;5.9;0.13608336165263304;5.79;6.09;0.023
2023-11-05;2023-11-11;RIO GRANDE DO SUL;PORTO ALEGRE;GASOLINA COMUM;32;R$/l;5.44;0.1286342652388872;5.17;5.75;0.024
2023-11-05;2023-11-11;RONDONIA;PORTO VELHO;GASOLINA COMUM;1;R$/l;6.58;0.0;6.58;6.58;0.0
2023-11-05;2023-11-11;PERNAMBUCO;RECIFE;GASOLINA COMUM;26;R$/l;5.38;0.04947104825435394;5.35;5.59;0.009
2023-11-05;2023-11-11;ACRE;RIO BRANCO;GASOLINA COMUM;14;R$/l;6.63;0.05659281979851555;6.54;6.69;0.009
2023-11-05;2023-11-11;RIO DE JANEIRO;RIO DE JANEIRO;GASOLINA COMUM;71;R$/l;5.51;0.23465810567580261;5.19;6.29;0.043
