NOME_PRODUTO;VALOR;LINK_PRODUTO
Faca Canivete Butterfly Manobras Tático Lamina Resistente Cor Camaleão;R$ 28,16;https://www.mercadolivre.com.br/faca-canivete-butterfly-manobras-tatico-lamina-resistente-cor-camaleo/p/MLB25731469?pdp_filters=category:MLB277644#searchVariation=MLB25731469&position=7&search_layout=stack&type=product&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Faca Butterfly Aço Inox +bainha Colorido 0899;R$ 35,31;https://produto.mercadolivre.com.br/MLB-2800017822-canivete-faca-butterfly-aco-inox-bainha-colorido-0899-_JM#position=36&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Faca Butterfly Treino Cs Afiada Canivete Tático Militar Luxo;R$ 40,90;https://produto.mercadolivre.com.br/MLB-2727258871-faca-butterfly-treino-cs-afiada-canivete-tatico-militar-luxo-_JM#position=37&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Faca Butterfly Tático Rainbow Grande Taue Sd4-c;R$ 45,00;https://produto.mercadolivre.com.br/MLB-1617769347-canivete-faca-butterfly-tatico-rainbow-grande-taue-sd4-c-_JM#position=38&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Butterfly Faca Balisong Tatico Militar Knife Cs Go;R$ 25,00;https://produto.mercadolivre.com.br/MLB-3281414447-canivete-butterfly-faca-balisong-tatico-militar-knife-cs-go-_JM#position=39&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Faca Canivete Butterfly Borboleta  Manobras  Cs Go Caveira ;R$ 44,50;https://produto.mercadolivre.com.br/MLB-2771421079-faca-canivete-butterfly-borboleta-manobras-cs-go-caveira-_JM#position=40&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Faca Butterfly Borboleta Cs Go Afiado + Bainha;R$ 35,00;https://produto.mercadolivre.com.br/MLB-1598408371-canivete-faca-butterfly-borboleta-cs-go-afiado-bainha-_JM#position=41&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Faca Karambit Cs Go Black Preta - Combate Tática Bainha Full;R$ 45,90;https://www.mercadolivre.com.br/faca-karambit-cs-go-black-preta-combate-tatica-bainha-full/p/MLB22780683?pdp_filters=category:MLB277644#searchVariation=MLB22780683&position=8&search_layout=stack&type=product&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Faca Canivete Butterfly Manobras Tático Lamina Resistente;R$ 39,90;https://produto.mercadolivre.com.br/MLB-3281708253-faca-canivete-butterfly-manobras-tatico-lamina-resistente-_JM#position=42&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Kit 2 Canivete Faca Com Trava E Clipe Todo Em Inox Pescaria;R$ 122,14;https://produto.mercadolivre.com.br/MLB-2817726264-kit-2-canivete-faca-com-trava-e-clipe-todo-em-inox-pescaria-_JM#position=43&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Cartão Faca Lamina Afiada Dobrável Credito Carteira Original;R$ 16,83;https://produto.mercadolivre.com.br/MLB-2760596321-carto-faca-lamina-afiada-dobravel-credito-carteira-original-_JM#position=44&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Faca Butterfly Borboleta Balisong Treino Fade;R$ 84,90;https://www.mercadolivre.com.br/canivete-faca-butterfly-borboleta-balisong-treino-fade/p/MLB25129090?pdp_filters=category:MLB277644#searchVariation=MLB25129090&position=11&search_layout=stack&type=product&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Tático Muito Afiado Retrátil Automático Militar;R$ 39,51;https://produto.mercadolivre.com.br/MLB-2750255735-canivete-tatico-muito-afiado-retratil-automatico-militar-_JM#position=45&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Dragon Faca Borboleta Butterfly Balisong Manobras;R$ 43,99;https://produto.mercadolivre.com.br/MLB-2874534590-canivete-dragon-faca-borboleta-butterfly-balisong-manobras-_JM#position=46&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Butterfly Faca Tático Multicolor Cs Go Sem Fio Inox;R$ 39,39;https://produto.mercadolivre.com.br/MLB-2796563314-canivete-butterfly-faca-tatico-multicolor-cs-go-sem-fio-inox-_JM#position=47&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Faca Butterfly Borboleta Gold Dourado Aço P/ Treino;R$ 31,97;https://produto.mercadolivre.com.br/MLB-3280792218-canivete-faca-butterfly-borboleta-gold-dourado-aco-p-treino-_JM#position=48&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Kit 2 Canivetes Faca Butterfly Borboleta Aço Dourado E Fade;R$ 97,91;https://produto.mercadolivre.com.br/MLB-1181468912-kit-2-canivetes-faca-butterfly-borboleta-aco-dourado-e-fade-_JM#position=49&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Butterfly Pente Treino Balisong Cs Go Karambit;R$ 28,00;https://www.mercadolivre.com.br/canivete-butterfly-pente-treino-balisong-cs-go-karambit/p/MLB23073770?pdp_filters=category:MLB277644#searchVariation=MLB23073770&position=12&search_layout=stack&type=product&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Butterfly Inox Faca Sem Fio Sem Corte Para Treinos ;R$ 27,38;https://produto.mercadolivre.com.br/MLB-2780160789-canivete-butterfly-inox-faca-sem-fio-sem-corte-para-treinos-_JM#position=50&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Butterfly Invictus Wasp - Aço Inoxidável;R$ 69,25;https://www.mercadolivre.com.br/canivete-butterfly-invictus-wasp-aco-inoxidavel/p/MLB22811118?pdp_filters=category:MLB277644#searchVariation=MLB22811118&position=13&search_layout=stack&type=product&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Butterfly Faca Canivete Dragão Afiado, Resistente Osatoshop;R$ 49,67;https://produto.mercadolivre.com.br/MLB-952837562-butterfly-faca-canivete-drago-afiado-resistente-osatoshop-_JM#position=51&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Fade Faca Butterfly Borboleta Afiado Cs Go C/ Nfe;R$ 28,99;https://produto.mercadolivre.com.br/MLB-3729737038-canivete-fade-faca-butterfly-borboleta-afiado-cs-go-c-nfe-_JM#position=52&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Butterfly Faca Borboleta Tatico Militar Knife Adaga;R$ 39,90;https://produto.mercadolivre.com.br/MLB-3144388108-canivete-butterfly-faca-borboleta-tatico-militar-knife-adaga-_JM#position=53&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Faca Butterfly Borboleta Cs Go Afiado Cabo Vazado;R$ 26,90;https://produto.mercadolivre.com.br/MLB-2896414156-canivete-faca-butterfly-borboleta-cs-go-afiado-cabo-vazado-_JM#position=54&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
